category;type;value;comment;to_ids
External analysis;vulnerability;CVE-2021-21220;;0
External analysis;vulnerability;CVE-2021-21224;;0
Payload delivery;filename;%SYSTEM%\WmiPrvMon.exe;Launcher;0
Payload delivery;filename;%SYSTEM%\wmimon.dll;Payload;0
Network activity;domain;media-seoengine.com;PuzzleMaker C2;1
Payload delivery;md5;09a5055db44fc1c9e3add608efff038c;Launcher;1
Payload delivery;sha1;bffa4462901b74dbfbffaa3a3db27daa61211412;Launcher;1
Payload delivery;sha256;982f7c4700c75b81833d5d59ad29147c392b20c760fe36b200b541a0f841c8a9;Launcher;1
Payload delivery;md5;d6b850c950379d5ee0f254f7164833e8;Payload;1
Payload delivery;sha1;e63ed3b56a5f9a1ea5c92d3d2444196ea13be94b;Payload;1
Payload delivery;sha256;8a17279ba26c8fbe6966ea3300fdefb1adae1b3ed68f76a7fc81413bd8c1a5f6;Payload;1
Payload delivery;sha256;12b927235ab1a5eb87222ef34e88d4aababe23804ae12dc0807ca6b256c7281c;ChaChi;1
Payload delivery;sha256;8a9205709c6a1e5923c66b63addc1f833461df2c7e26d9176993f14de2a39d5b;ChaChi;1
Payload delivery;sha256;37c3cb07b37d43721b3a8171959d2dff11ff904b048a334012239be9c7b87f63;ChaChi;1
Payload delivery;sha256;0bcbc1faec0c44d157d5c8170be4764f290d34078516da5dcd8b5039ef54f5ca;ChaChi;1
Payload delivery;sha256;6eb0455b0ab3073c88fcba0cad92f73cc53459f94008e57100dc741c23cf41a3;ChaChi;1
Payload delivery;sha256;89b9ba56ebe73362ef83e7197f85f6480c1e85384ad0bc2a76505ba97a681010;ChaChi;1
Payload delivery;sha256;701791cd5ed3e3b137dd121a0458977099bb194a4580f364802914483c72b3ce;ChaChi;1
Payload delivery;sha256;c9bed25ab291953872c90126ce5283ce1ad5269ff8c1bca74a42468db7417045;ChaChi;1
Payload delivery;sha256;e47a632bfd08e72d15517170b06c2de140f5f237b2f370e12fbb3ad4ff75f649;ChaChi;1
Payload delivery;sha256;0fd13ece461511fbc129f6584d45fea920200116f41d6097e4dffeb965b19ef4;ChaChi;1
Payload delivery;sha256;3a6ddc4022f6abe7bdb95a3ba491aaf7f9713bcb6db1fbaa299f7c68ab04d4f4;ChaChi;1
Payload delivery;sha256;5d8459c2170c296288e2c0dd9a77f5d973b22213af8fa0d276a8794ffe8dc159;ChaChi;1
Payload delivery;sha256;6d1fde9a5963a672f5e4b35cc7b8eaa8520d830eb30c67fadf8ab82aeb28b81a;ChaChi;1
Payload delivery;sha256;8b5cdbd315da292bbbeb9ff4e933c98f0e3de37b5b813e87a6b9796e10fbe9e8;ChaChi;1
Payload delivery;sha256;2697bbe0e96c801ff615a97c2258ac27eec015077df5222d52f3fbbcdca901f5;ChaChi;1
Payload delivery;sha256;85c8ccf45cdb84e99cce74c376ce73fdf08fdd6d0a7809702e317c18a016b388;ChaChi;1
